Fecha,Valor,ID
02-2010,1.6868223930400434,1
03-2010,-1.4347526677079165,1
04-2010,-13.085612923119488,1
05-2010,2.4409949263369244,1
06-2010,10.04803721247003,1
07-2010,-8.476017264879156,1
08-2010,-9.25988762939059,1
09-2010,-6.062891785365348,1
10-2010,0.1703429683583364,1
11-2010,-2.1776887862414944,1
12-2010,8.423298342984591,1
01-2011,3.3139572304431786,1
02-2011,0.42747200324923296,1
03-2011,2.5006702948782364,1
04-2011,9.24220566647429,1
05-2011,-24.244834249410466,1
06-2011,15.224962542084176,1
07-2011,-0.010849143327043453,1
08-2011,4.595988561189245,1
09-2011,-8.199684177205118,1
10-2011,5.865936316807621,1
11-2011,11.650475553271907,1
12-2011,5.5403983222402005,1
01-2012,30.597712758674472,1
02-2012,2.460735671312193,1
03-2012,-32.39876584141834,1
04-2012,8.635785184420476,1
05-2012,4.519320160769514,1
06-2012,0.052829329987659435,1
07-2012,3.2783975681810738,1
08-2012,14.825447273111884,1
09-2012,-0.3755046152121806,1
10-2012,-11.68805216485776,1
11-2012,11.59380874369858,1
12-2012,-0.9057129180043186,1
01-2013,-0.30915444529223235,1
02-2013,-1.3687722831857645,1
03-2013,7.3365454928652944,1
04-2013,9.75184953583761,1
05-2013,11.950018354098425,1
06-2013,4.623900478961465,1
07-2013,-0.5451534245009397,1
08-2013,2.4963227100495606,1
09-2013,1.7206852064430773,1
10-2013,3.1179481747421542,1
11-2013,10.141062260052905,1
12-2013,28.585276918517064,1
01-2014,-10.005522175044263,1
02-2014,11.11608965650217,1
03-2014,0.7779943119926835,1
04-2014,12.330550872704753,1
05-2014,-1.4556411716497708,1
06-2014,-9.739457748478126,1
07-2014,-0.08747456394824171,1
08-2014,19.841587744667862,1
09-2014,-6.43231886362649,1
10-2014,-15.508977785541278,1
11-2014,-27.19877845552522,1
12-2014,-0.015320748065382084,1
01-2015,-1.9848095174986526,1
02-2015,3.8101591637234447,1
03-2015,21.87440153137404,1
04-2015,2.979627399427973,1
05-2015,-4.025274532769343,1
06-2015,14.29274041321578,1
07-2015,11.047907456400498,1
08-2015,-10.701403604686943,1
09-2015,3.219560773939272,1
10-2015,14.426131350757018,1
11-2015,13.634794808479487,1
12-2015,2.026470476331502,1
01-2014,-4.361812731385824,2
02-2014,-2.3466863958967012,2
03-2014,-5.12836305359705,2
04-2014,-3.0781097185179864,2
05-2014,3.3882865724160998,2
06-2014,-6.367011100117184,2
07-2014,-9.982241675606126,2
08-2014,-5.166494216659151,2
09-2014,-3.222226338812216,2
10-2014,-11.263463397561924,2
11-2014,0.876191232074111,2
12-2014,-4.044311637706155,2
01-2015,-5.422033796224519,2
02-2015,-7.968769645915449,2
